exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
3,40,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts two leaders.","Strategy?","Compare","Contrast","Narrate","Describe",A,"Shows similarities/differences."
3,41,Craft and Structure,Text Structure and Purpose,"Article explains pros and cons of diet.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced info."
3,42,Standard English Conventions,Boundaries,"After game players cheered.","Best revision?","After the game, players cheered.","After game players cheered.","After game, players cheered.","After game players cheered.",A,"Comma clarifies structure."
3,43,Information and Ideas,Central Idea,"Text warns about texting while driving.","Main idea?","Texting safe.","Texting risky.","Texting fun.","Texting necessary.",B,"Safety warning."
3,44,Expression of Ideas,Transitions,"Though tired, completed task.","'Though' meaning?","Addition","Contrast","Cause","Result",B,"Shows contrast."
3,45,Craft and Structure,Words in Context,"Speech was eloquent and clear.","Meaning?","Unclear","Clear and persuasive","Quiet","Long",B,"Effective expression."
3,46,Standard English Conventions,Form Structure and Sense,"Team is winning.","Correct?","Is","Are","Was","Were",A,"Singular subject needs singular verb."
3,47,Information and Ideas,Command of Evidence,"Exercise reduces blood pressure.","Supports?","False","True","False","False",B,"Confirms benefits."
3,48,Expression of Ideas,Rhetorical Synthesis,"Passage compares rural and city life.","Rhetorical device?","Contrast","Compare","Narrate","Describe",A,"Shows differences."
3,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relation?","Unrelated","Cause-effect","Conflict","Supporting",B,"Effects from causes."
3,50,Standard English Conventions,Boundaries,"Sit down John.","Correction?","Sit down, John.","Sit down John.","Sit, down John.","Sit down, John",A,"Vocative commas."
3,51,Craft and Structure,Words in Context,"The ruins were awe-inspiring.","Meaning?","Boring","Amazing","Confusing","Ugly",B,"Excites wonder."
3,52,Standard English Conventions,Form Structure and Sense,"List of items is on table.","Correct?","Is","Are","Was","Were",A,"Singular subject needs singular verb."
3,53,Information and Ideas,Central Idea,"Passage stresses water conservation.","Main point?","Water unlimited.","Conservation needed.","Water cheap.","Water clean.",B,"Emphasizes importance."
3,54,Expression of Ideas,Transitions,"Failed test; thus, studied more.","Meaning of 'thus'?","Cause","Effect","Addition","Contrast",B,"Shows result."
4,1,Craft and Structure,Words in Context,"The painter’s brush strokes were delicate yet precise.","What does 'delicate' most likely mean?","Strong","Fragile","Gentle","Bright",C,"'Delicate' means gentle or subtle."
4,2,Standard English Conventions,Boundaries,"Neither John nor his friends is coming.","Which correction is needed?","Is","Are","Was","Were",B,"The plural subject requires plural verb."
4,3,Information and Ideas,Command of Evidence,"The passage states that recycling decreases landfill waste.","Which sentence supports this?","Recycling helps environment.","Landfills grow.","Waste is dirty.","Recycling is hard.",A,"Directly supports claim about recycling."
4,4,Expression of Ideas,Transitions,"The experiment was flawed; consequently, results were invalid.","What does 'consequently' indicate?","Cause","Effect","Addition","Contrast",B,"Shows result or effect."
4,5,Craft and Structure,Text Structure and Purpose,"An author opens with a question, then provides answers.","What is the author’s purpose?","To present a mystery","To engage and inform","To confuse","To narrate",B,"Using a question engages readers and introduces content."
4,6,Standard English Conventions,Form Structure and Sense,"Everyone need to submit their forms.","Which is correct?","Needs","Need","Needed","Needing",A,"Singular 'Everyone' requires 'needs'."
4,7,Information and Ideas,Central Idea,"The passage highlights the dangers of oil spills.","What is the central idea?","Oil spills harm environment.","Oil spills are beneficial.","Oil spills are common.","Oil spills are cheap.",A,"Focus is on environmental harm."
4,8,Expression of Ideas,Rhetorical Synthesis,"The text compares advantages of solar and wind energy.","What rhetorical device is used?","Argument","Comparison","Narration","Description",B,"Compares energy types."
4,9,Craft and Structure,Cross-Text Connections,"Text A discusses sun’s role in climate; Text B effects on weather.","What is their relationship?","Cause and effect","Opposition","Unrelated","Agreement",A,"One text causes effects described in the other."
4,10,Standard English Conventions,Boundaries,"Lets eat, kids!","What is the meaning with this punctuation?","Eat kids","Calling kids to eat","No punctuation required","Confusing",B,"Comma changes meaning to address kids."
4,11,Information and Ideas,Inferences,"She grabbed her coat and keys before leaving.","What can be inferred?","She’s going out.","She’s staying home.","She’s tired.","She’s cooking.",A,"Preparing to leave."
4,12,Expression of Ideas,Transitions,"The weather was cold; however, they went hiking.","'However' shows:","Cause","Contrast","Addition","Summary",B,"Shows contrast."
4,13,Craft and Structure,Words in Context,"The speech was compelling and persuasive.","'Compelling' means:","Boring","Powerful","Irrelevant","Short",B,"Captivates attention."
4,14,Standard English Conventions,Form Structure and Sense,"Neither of the answers were correct.","Which correction is proper?","Was","Were","Is","Are",A,"'Neither' requires singular verb."
4,15,Information and Ideas,Command of Evidence,"Data shows increased use of electric vehicles.","Which statement supports?","Electric vehicles declined.","Electric vehicles increased.","Electric vehicles unchanged.","Unknown.",B,"Confirms increase."
4,16,Expression of Ideas,Rhetorical Synthesis,"The article presents pros and cons of online education.","What is this strategy?","Balanced argument","Bias","Narrative","Description",A,"Presents both sides."
4,17,Craft and Structure,Text Structure and Purpose,"The passage outlines steps to bake a cake.","What is the author’s goal?","To entertain","To inform","To confuse","To criticize",B,"Instructs reader."
4,18,Standard English Conventions,Boundaries,"Running late the train left.","Best revision?","Running late, the train left.","Running late the train left.","Running late; the train left.","Running late: the train left.",A,"Comma clarifies."
4,19,Information and Ideas,Central Idea,"The passage stresses importance of clean water.","What is the central idea?","Clean water unnecessary.","Clean water essential.","Clean water expensive.","Clean water rare.",B,"Main focus is on clean water."
4,20,Expression of Ideas,Transitions,"Though tired, he finished the race.","What does 'though' show?","Cause","Addition","Contrast","Result",C,"Indicates contrast."
4,21,Craft and Structure,Words in Context,"Her voice was melodious and soothing.","What does 'melodious' mean?","Harsh","Musical","Monotonous","Loud",B,"Musical and pleasant."
4,22,Standard English Conventions,Form Structure and Sense,"The team are winning the game.","Which is correct?","Is","Are","Was","Were",A,"Singular team requires singular verb."
4,23,Information and Ideas,Command of Evidence,"Graphs indicate rise in renewable energy generation.","What does this show?","Rise","Decline","No change","Unknown",A,"Graph confirms rise."
4,24,Expression of Ideas,Rhetorical Synthesis,"The essay compares city and rural lifestyles.","What rhetorical device?","Comparison","Narration","Description","Argument",A,"Juxtaposes lifestyles."
4,25,Craft and Structure,Cross-Text Connections,"Text A explains causes of drought; Text B effects on agriculture.","Relationship?","Cause and effect","Opposition","Unrelated","Agreement",A,"Texts linked by cause-effect."
4,26,Standard English Conventions,Boundaries,"Stop thief!","How punctuation affects meaning?","Direct address","No effect","Question","Exclamation",A,"Comma indicates address."
4,27,Information and Ideas,Inferences,"A man carries an umbrella on a cloudy day.","What can be inferred?","It might rain.","Sunny day.","Snowing.","Stormy night.",A,"Umbrella implies rain."
4,28,Expression of Ideas,Transitions,"She studied hard; hence, she passed.","What does 'hence' mean?","Cause","Effect","Addition","Contrast",B,"Result of studying hard."
4,29,Craft and Structure,Words in Context,"The garden was lush and vibrant.","Meaning of 'lush'?","Sparse","Abundant","Dry","Small",B,"Rich and abundant."
4,30,Standard English Conventions,Form Structure and Sense,"Between you and me, this is confidential.","Which is correct?","Me","I","Us","We",A,"Objective pronoun 'me' required."
4,31,Information and Ideas,Command of Evidence,"Study shows exercise reduces stress.","Which confirms?","Exercise increases stress.","Exercise reduces stress.","No effect.","Unknown.",B,"Confirms positive effect."
4,32,Expression of Ideas,Rhetorical Synthesis,"The article weighs benefits and drawbacks of social media.","What is this?","Balanced argument","Bias","Narrative","Description",A,"Presents multiple views."
4,33,Craft and Structure,Cross-Text Connections,"Text A details causes of pollution; Text B effects.","Relationship?","Cause-effect","Opposition","Unrelated","Supportive",A,"One causes other."
4,34,Standard English Conventions,Boundaries,"Hurry up John!","Best punctuation?","Hurry up, John!","Hurry up John!","Hurry, up John!","Hurry up John.",A,"Comma separates name."
4,35,Information and Ideas,Inferences,"She wears gloves in winter.","What is inferred?","Cold weather.","Warm weather.","Rainy weather.","Hot weather.",A,"Gloves imply cold."
4,36,Expression of Ideas,Transitions,"He enjoys music; moreover, he sings.","What does 'moreover' mean?","Cause","Addition","Contrast","Effect",B,"Adds idea."
4,37,Craft and Structure,Words in Context,"The crowd was jubilant with joy.","What means 'jubilant'?","Sad","Happy","Confused","Angry",B,"Very happy."
4,38,Standard English Conventions,Form Structure and Sense,"Everybody has ideas.","Which verb is correct?","Has","Have","Had","Having",A,"Singular subject."
4,39,Information and Ideas,Command of Evidence,"Data shows smoking rates declined.","Which supports?","Smoking fell.","Smoking rose.","Same.","Unknown.",A,"Confirms decline."
4,40,Expression of Ideas,Rhetorical Synthesis,"The passage compares political figures.","What device?","Comparison","Contrast","Narrative","Description",A,"Shows similarities/differences."
4,41,Craft and Structure,Text Structure and Purpose,"The article explains pros and cons of diets.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced view."
4,42,Standard English Conventions,Boundaries,"After game players cheered.","Best revision?","After the game, players cheered.","After game players cheered.","After game players, cheered.","After the game players cheered.",A,"Comma adds clarity."
4,43,Information and Ideas,Central Idea,"Text warns about dangers of texting while driving.","Central claim?","Safe to text.","Texting is risky.","Texting is fun.","Texting is needed.",B,"Warns about risk."
4,44,Expression of Ideas,Transitions,"Though tired, she continued.","Meaning of 'though'?","Cause","Addition","Contrast","Result",C,"Shows contrast."
4,45,Craft and Structure,Words in Context,"His tone was eloquent and clear.","Meaning?","Unclear","Clear and persuasive","Quiet","Long",B,"Effective communication."
4,46,Standard English Conventions,Form Structure and Sense,"The team is winning.","Which verb is correct?","Is","Are","Was","Were",A,"Singular subject and verb."
4,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","What supports this?","True","False","Unknown","No effect",A,"Confirms benefit."
4,48,Expression of Ideas,Rhetorical Synthesis,"The passage contrasts city and country life.","Rhetorical device?","Contrast","Comparison","Narrative","Description",A,"Highlights differences."
4,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relationship?","Unrelated","Cause-effect","Opposing","Supporting",B,"One causes other."
4,50,Standard English Conventions,Boundaries,"Sit down John.","Best punctuation?","Sit down, John.","Sit down John.","Sit down, John!","Sit down John!",A,"Comma separates vocative."
4,51,Craft and Structure,Words in Context,"The ruins were awe-inspiring.","Meaning?","Boring","Amazing","Confusing","Ugly",B,"Creates awe."
4,52,Standard English Conventions,Form Structure and Sense,"List of items is on table.","Correct verb?","Is","Are","Was","Were",A,"Singular 'List' takes singular verb."
4,53,Information and Ideas,Central Idea,"The passage encourages water conservation.","Main idea?","Water is unlimited.","Conservation is critical.","Water is cheap.","Water is clean.",B,"Focuses on conservation."
4,54,Expression of Ideas,Transitions,"He failed; thus, he studied harder.","Meaning of 'thus'?","Cause","Effect","Addition","Contrast",B,"Shows result."
5,1,Craft and Structure,Words in Context,"The dense forest was home to many wild animals.","What does 'dense' most nearly mean?","Sparse","Thick","Thin","Short",B,"'Dense' means thick or closely packed."
5,2,Standard English Conventions,Boundaries,"He don't understand the problem.","Which is the correct revision?","He doesn't understand the problem.","He don't understands the problem.","He doesn't understands the problem.","He do not understand the problem.",A,"Subject-verb agreement requires 'doesn't'."
5,3,Information and Ideas,Command of Evidence,"The passage claims that plants improve air quality.","Which sentence best supports this?","Plants release oxygen.","Plants need sunlight.","Plants attract bees.","Plants grow in soil.",A,"Oxygen release improves air quality."
5,4,Expression of Ideas,Transitions,"The forecast predicted rain; however, it remained sunny.","What does 'however' indicate?","Addition","Contrast","Cause","Result",B,"Shows contrast between prediction and reality."
5,5,Craft and Structure,Text Structure and Purpose,"The article describes causes of deforestation, then suggests solutions.","What is the goal of this structure?","To entertain","To confuse","To inform and propose solutions","To criticize",C,"Introduces problem and solutions logically."
5,6,Standard English Conventions,Form Structure and Sense,"All team members is present.","Which revision is correct?","Are","Is","Was","Were",A,"Plural subject requires plural verb."
5,7,Information and Ideas,Central Idea,"The passage discusses the importance of protecting endangered species.","What is the central idea?","Animals are harmful.","Endangered species need protection.","Endangered species cause problems.","Animals are unimportant.",B,"Focuses on conservation."
5,8,Expression of Ideas,Rhetorical Synthesis,"The text compares electric and gas cars.","What rhetorical method is used?","Narration","Comparison","Description","Argument",B,"Compares two car types."
5,9,Craft and Structure,Cross-Text Connections,"Text A discusses pollution sources; Text B consequences on health.","What is their relationship?","Unrelated","Cause-effect","Opposing","Different topics",B,"Cause leads to effect."
5,10,Standard English Conventions,Boundaries,"Lets eat, Grandpa!","How does punctuation change meaning?","Inviting Grandpa to eat","Eating Grandpa","No change","Both same",A,"Comma clarifies address."
5,11,Information and Ideas,Inferences,"A man wears a heavy coat and gloves.","What can be inferred?","Cold weather","Warm weather","Rainy day","Sunny day",A,"Clothing implies cold."
5,12,Expression of Ideas,Transitions,"She missed the bus; therefore, she was late.","What does 'therefore' mean?","Cause","Effect","Addition","Contrast",B,"Shows consequence."
5,13,Craft and Structure,Words in Context,"Her smile was radiant and warm.","What does 'radiant' mean?","Dull","Bright","Loud","Soft",B,"Bright and glowing."
5,14,Standard English Conventions,Form Structure and Sense,"Each of the birds fly south.","Which correction is best?","Flies","Fly","Flying","Flew",A,"Singular 'Each' takes singular verb."
5,15,Information and Ideas,Command of Evidence,"Data shows increased recycling rates.","Which supports this?","Recycling decreased.","Recycling increased.","Recycling same.","Unknown.",B,"Confirms increase."
5,16,Expression of Ideas,Rhetorical Synthesis,"The essay presents pros and cons of electric scooters.","What is the strategy?","Balanced argument","Bias","Narration","Description",A,"Shows both sides."
5,17,Craft and Structure,Text Structure and Purpose,"The passage lists steps for planting a tree.","What is the purpose?","To inform","To entertain","To confuse","To argue",A,"Instructions given."
5,18,Standard English Conventions,Boundaries,"Walking fast the dog escaped.","Best revision?","Walking fast, the dog escaped.","Walking fast the dog escaped.","Walking fast; the dog escaped.","Walking fast: the dog escaped.",A,"Clarifies action."
5,19,Information and Ideas,Central Idea,"The passage highlights renewable energy benefits.","Central idea?","Renewable energy is costly.","Renewable energy helps environment.","Renewable energy is rare.","Renewable energy is ineffective.",B,"Focus on benefits."
5,20,Expression of Ideas,Transitions,"Although tired, they completed the project.","What does 'although' show?","Cause","Addition","Contrast","Result",C,"Introduces contrast."
5,21,Craft and Structure,Words in Context,"The night sky was clear and starry.","'Starry' means?","Cloudy","Full of stars","Dark","Bright",B,"Filled with stars."
5,22,Standard English Conventions,Form Structure and Sense,"The group is large.","Which verb is correct?","Is","Are","Was","Were",A,"Singular group takes singular verb."
5,23,Information and Ideas,Command of Evidence,"Graphs show rising temperatures globally.","Which supports this?","Temperatures fell.","Temperatures rose.","Temperatures steady.","Unknown.",B,"Confirms increase."
5,24,Expression of Ideas,Rhetorical Synthesis,"The article compares urban and rural education.","What is the strategy?","Compare","Narrate","Describe","Argue",A,"Comparison."
5,25,Craft and Structure,Cross-Text Connections,"Text A discusses floods; Text B impact on agriculture.","Relation?","Cause-effect","Opposition","Unrelated","Other",A,"One causes other."
5,26,Standard English Conventions,Boundaries,"Wake up, Tom!","Why is comma needed?","Direct address","No purpose","Punctuation","Separation",A,"Separates vocative."
5,27,Information and Ideas,Inferences,"She takes an umbrella on a cloudy day.","What can be inferred?","Rain possible","Sunshine expected","Snow falling","Windy day",A,"Umbrella implies rain risk."
5,28,Expression of Ideas,Transitions,"He worked hard; hence, he succeeded.","Meaning 'hence'?","Cause","Effect","Addition","Contrast",B,"Shows result."
5,29,Craft and Structure,Words in Context,"The garden was vibrant with flowers.","'Vibrant' means?","Dull","Colorful","Dead","Sparse",B,"Bright and full of life."
5,30,Standard English Conventions,Form Structure and Sense,"Between you and me, a secret.","Correct?","Me","I","Us","We",A,"Objective case."
5,31,Information and Ideas,Command of Evidence,"Study shows reading increases knowledge.","Supportive sentence?","Reading decreases knowledge.","Reading increases knowledge.","No change.","Unknown.",B,"Supports claim."
5,32,Expression of Ideas,Rhetorical Synthesis,"The text weighs pros and cons of social media.","Strategy?","Balanced argument","Biased","Narrative","Description",A,"Shows multiple sides."
5,33,Craft and Structure,Cross-Text Connections,"Text A pollution sources; Text B health problems.","Relation?","Cause-effect","Opposition","Unrelated","Support",A,"Linked causes and effects."
5,34,Standard English Conventions,Boundaries,"Stop, thief!","Purpose of comma?","Address","No effect","Question","Exclamation",A,"Separates address."
5,35,Information and Ideas,Inferences,"Student studies late night.","Inference?","Lazy","Hardworking","Absent","Sleeping",B,"Indicates diligence."
5,36,Expression of Ideas,Transitions,"She loves music; moreover, she sings.","Role of 'moreover'?","Cause","Addition","Contrast","Result",B,"Adds information."
5,37,Craft and Structure,Words in Context,"The crowd was jubilant.","'Jubilant' means?","Sad","Joyful","Confused","Angry",B,"Very happy."
5,38,Standard English Conventions,Form Structure and Sense,"Everybody has a voice.","Correct verb?","Has","Have","Had","Having",A,"Singular subject."
5,39,Information and Ideas,Command of Evidence,"Data shows fall in smoking rates.","Support?","Increasing","Decreasing","Static","Unknown",B,"Confirms decrease."
5,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares politicians.","Device?","Comparison","Contrast","Narrative","Description",A,"Shows likeness and difference."
5,41,Craft and Structure,Text Structure and Purpose,"Article discusses diet pros and cons.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced view."
5,42,Standard English Conventions,Boundaries,"After game, players cheered.","Correct punctuation?","Yes","No","Maybe","Unknown",A,"Comma needed."
5,43,Information and Ideas,Central Idea,"Text warns against texting while driving.","Main idea?","Safe texting","Risky texting","Fun texting","Needed texting",B,"Warns of risk."
5,44,Expression of Ideas,Transitions,"Though tired, finished work.","Meaning of 'though'?","Addition","Contrast","Cause","Result",B,"Shows contrast."
5,45,Craft and Structure,Words in Context,"Her tone was eloquent.","'Eloquent' means?","Unclear","Persuasive","Quiet","Long",B,"Clear and effective."
5,46,Standard English Conventions,Form Structure and Sense,"The team is winning.","Which verb?","Is","Are","Was","Were",A,"Singular verb needed."
5,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Which sentence supports?","False","True","Unknown","No effect",B,"Confirms benefit."
5,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and country life.","Rhetorical technique?","Contrast","Comparison","Narration","Description",A,"Shows difference."
5,49,Craft and Structure,Cross-Text Connections,"Text A on pollution; Text B on health effects.","Relation?","Unrelated","Cause-effect","Conflict","Support",B,"A causes B."
5,50,Standard English Conventions,Boundaries,"Sit down Tom.","Punctuation fix?","Sit down, Tom.","Sit down Tom.","Sit, down Tom.","Sit down, Tom",A,"Vocative comma."
5,51,Craft and Structure,Words in Context,"The ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Impressive and grand."
5,52,Standard English Conventions,Form Structure and Sense,"List of items is on table.","Verb correct?","Is","Are","Was","Were",A,"Singular subject."
5,53,Information and Ideas,Central Idea,"The passage calls for water conservation.","Main point?","Water unlimited.","Conservation important.","Water cheap.","Water clean.",B,"Focus on conservation."
5,54,Expression of Ideas,Transitions,"He failed; therefore, studied more.","Meaning?","Cause","Effect","Addition","Contrast",B,"Result of failure."
6,1,Craft and Structure,Words in Context,"The mountain path was treacherous after the rain.","What does 'treacherous' most nearly mean?","Safe","Dangerous","Easy","Short",B,"'Treacherous' means hazardous or dangerous."
6,2,Standard English Conventions,Boundaries,"He has went to the store.","Which correction is needed?","He has gone to the store.","He has went to the store.","He gone to the store.","He goes to the store.",A,"Correct past participle of 'go' is 'gone'."
6,3,Information and Ideas,Command of Evidence,"The passage states that bees pollinate flowers.","Which sentence best supports this?","Bees collect pollen.","Bees pollinate flowers.","Bees make honey.","Flowers bloom in spring.",B,"Direct evidence of pollination."
6,4,Expression of Ideas,Transitions,"It was cold; nevertheless, they played outside.","What does 'nevertheless' show?","Addition","Cause","Contrast","Conclusion",C,"Shows contrast despite cold."
6,5,Craft and Structure,Text Structure and Purpose,"The article explains causes of flooding and prevention methods.","What is the purpose?","To entertain","To confuse","To inform and suggest solutions","To argue",C,"Informing with problem and solution."
6,6,Standard English Conventions,Form Structure and Sense,"Every player have a chance.","Which is correct?","Has","Have","Had","Having",A,"Singular subject takes singular verb."
6,7,Information and Ideas,Central Idea,"The passage discusses benefits of clean energy.","What is the central idea?","Clean energy is harmful.","Clean energy benefits environment.","Clean energy is expensive.","Clean energy is scarce.",B,"Focus is on benefits."
6,8,Expression of Ideas,Rhetorical Synthesis,"The text compares benefits of biking and walking.","What rhetorical device is this?","Narration","Comparison","Description","Argument",B,"Compares two modes of transport."
6,9,Craft and Structure,Cross-Text Connections,"Text A discusses irrigation; Text B effects on crop yield.","What is the relationship?","Cause and effect","Opposition","No relation","Supporting claims",A,"Irrigation affects crop yield."
6,10,Standard English Conventions,Boundaries,"Lets eat, children!","How does punctuation affect meaning?","Inviting children to eat","Eating children","Same meaning","Command",A,"Comma clarifies invitation."
6,11,Information and Ideas,Inferences,"She brings a lunchbox to school everyday.","What can be inferred?","She skips lunch.","She eats lunch.","She is hungry.","She cooks lunch.",B,"Lunchbox implies school lunch."
6,12,Expression of Ideas,Transitions,"The project was challenging; hence, she worked hard.","What does 'hence' mean?","Cause","Effect","Addition","Contrast",B,"Shows consequence."
6,13,Craft and Structure,Words in Context,"The river was turbulent during the storm.","'Turbulent' means?","Calm","Rough","Clear","Shallow",B,"Rough or chaotic."
6,14,Standard English Conventions,Form Structure and Sense,"Each of the boys play soccer.","Which is correct?","Plays","Play","Playing","Played",A,"Singular subject, singular verb."
6,15,Information and Ideas,Command of Evidence,"Graphs indicate increased recycling efforts.","Which confirms this?","Recycling decreased.","Recycling increased.","No change.","Unknown.",B,"Shows rise."
6,16,Expression of Ideas,Rhetorical Synthesis,"The essay discusses pros and cons of homeschooling.","What rhetorical strategy?","Balanced","Biased","Narrative","Description",A,"Presents both sides."
6,17,Craft and Structure,Text Structure and Purpose,"The passage outlines steps for baking a cake.","What is the goal?","To entertain","To instruct","To confuse","To argue",B,"Provides instructions."
6,18,Standard English Conventions,Boundaries,"Walking fast the dog ran away.","What revision clarifies?","Walking fast, the dog ran away.","Walking fast the dog ran away.","Walking fast; the dog ran away.","Walking fast: the dog ran away.",A,"Comma adds clarity."
6,19,Information and Ideas,Central Idea,"The passage stresses need for water conservation.","Main idea?","Water is abundant.","Conservation is necessary.","Water is cheap.","Water is clean.",B,"Focus on saving water."
6,20,Expression of Ideas,Transitions,"Though tired, they finished the work.","What does 'though' show?","Cause","Addition","Contrast","Result",C,"Adds contrast."
6,21,Craft and Structure,Words in Context,"The sunset was breathtakingly beautiful.","What does 'breathtaking' mean?","Ordinary","Stunning","Dark","Dull",B,"Extremely impressive."
6,22,Standard English Conventions,Form Structure and Sense,"The committee decide on the rules.","Which verb is correct?","Decides","Decide","Decided","Deciding",A,"Singular subject requires singular verb."
6,23,Information and Ideas,Command of Evidence,"Data shows more people are using public transportation.","Which supports?","Less people use public transit.","More people use public transit.","Same usage.","Unknown.",B,"Confirms increase."
6,24,Expression of Ideas,Rhetorical Synthesis,"The article compares electric and gasoline cars.","What rhetorical approach?","Narration","Comparison","Description","Argument",B,"Juxtaposes car types."
6,25,Craft and Structure,Cross-Text Connections,"Text A explains causes of drought; Text B effects on crops.","Relationship?","Cause-effect","Opposite","Unrelated","Supportive",A,"Cause leads to effect."
6,26,Standard English Conventions,Boundaries,"Wake up, Sam!","Why comma needed?","Direct address","No use","Punctuation","Pause",A,"Separates vocative."
6,27,Information and Ideas,Inferences,"A student carries books and notes.","What can be inferred?","Studying","Playing","Sleeping","Eating",A,"Likely studying."
6,28,Expression of Ideas,Transitions,"He studied hard; thus, succeeded.","Meaning of 'thus'?","Cause","Effect","Addition","Contrast",B,"Shows result."
6,29,Craft and Structure,Words in Context,"The garden was lush with greenery.","Meaning of 'lush'?","Sparse","Abundant","Dry","Small",B,"Rich growth."
6,30,Standard English Conventions,Form Structure and Sense,"Between you and her, a secret.","Which is correct?","Her","She","Hers","He",A,"Object pronoun."
6,31,Information and Ideas,Command of Evidence,"Study shows exercise reduces depression.","Which supports?","Exercise helps.","Exercise harms.","No effect.","Unknown.",A,"Supports benefit."
6,32,Expression of Ideas,Rhetorical Synthesis,"The text presents benefits and risks of social media.","Strategy?","Balanced","Biased","Narrative","Description",A,"Pros and cons."
6,33,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relation?","Cause-effect","Opposition","Unrelated","Supporting",A,"Cause and effect."
6,34,Standard English Conventions,Boundaries,"Stop thief!","Comma effect?","Address","No effect","Question","Exclamation",A,"Separates vocative."
6,35,Information and Ideas,Inferences,"She wears scarf and gloves.","Inference?","Cold","Hot","Rainy","Windy",A,"Cold weather."
6,36,Expression of Ideas,Transitions,"She loves music; moreover, sings.","'Moreover' means?","Cause","Addition","Contrast","Result",B,"Adds info."
6,37,Craft and Structure,Words in Context,"The audience was ecstatic after the performance.","Meaning of 'ecstatic'?","Happy","Angry","Confused","Tired",A,"Very happy."
6,38,Standard English Conventions,Form Structure and Sense,"Everyone has opinions.","Verb?","Has","Have","Had","Having",A,"Singular subject."
6,39,Information and Ideas,Command of Evidence,"Data shows smoking rates fall.","Which supports?","Increase","Decrease","Same","Unknown",B,"Indicates drop."
6,40,Expression of Ideas,Rhetorical Synthesis,"Comparison of two political leaders.","Device?","Comparison","Contrast","Narration","Description",A,"Shows likeness."
6,41,Craft and Structure,Text Structure and Purpose,"Article weighs advantages and disadvantages of diets.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced info."
6,42,Standard English Conventions,Boundaries,"After game players cheered.","Punctuation fix?","After the game, players cheered.","After game players cheered.","After game players, cheered.","After the game players cheered.",A,"Comma needed."
6,43,Information and Ideas,Central Idea,"Passage warns against texting and driving.","Central claim?","Safe texting","Dangerous texting","Fun texting","Needed texting",B,"Warns of risk."
6,44,Expression of Ideas,Transitions,"Though tired, finished.","'Though' means?","Addition","Contrast","Cause","Result",B,"Shows contrast."
6,45,Craft and Structure,Words in Context,"Her voice was eloquent.","'Eloquent' means?","Unclear","Persuasive","Quiet","Long",B,"Clear and effective."
6,46,Standard English Conventions,Form Structure and Sense,"The team wins every game.","Verb?","Wins","Win","Won","Winning",A,"Singular subject and verb."
6,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Support statement?","True","False","Unknown","No effect",A,"Confirms benefits."
6,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Device?","Contrast","Comparison","Narration","Description",A,"Shows difference."
6,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relation?","Unrelated","Cause-effect","Conflict","Supporting",B,"Cause-effect."
6,50,Standard English Conventions,Boundaries,"Sit down Sam.","Punctuate?","Sit down, Sam.","Sit down Sam.","Sit, down Sam.","Sit down, Sam",A,"Comma separates vocative."
6,51,Craft and Structure,Words in Context,"The ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Impressive."
6,52,Standard English Conventions,Form Structure and Sense,"List is on table.","Verb?","Is","Are","Was","Were",A,"Singular subject."
6,53,Information and Ideas,Central Idea,"Passage calls for water conservation.","Main point?","Water unlimited.","Conservation needed.","Water cheap.","Water clean.",B,"Focus on conservation."
6,54,Expression of Ideas,Transitions,"He failed; therefore, studied harder.","Meaning?","Cause","Effect","Addition","Contrast",B,"Shows result."
7,1,Craft and Structure,Words in Context,"The teacher's instructions were explicit and clear.","What does 'explicit' most nearly mean?","Vague","Clear","Complicated","Short",B,"'Explicit' means clear and direct."
7,2,Standard English Conventions,Boundaries,"He don't know the answer.","Which is the correct sentence?","He doesn't know the answer.","He don't knows the answer.","He doesn't knows the answer.","He don't know answer.",A,"Subject-verb agreement requires 'doesn't'."
7,3,Information and Ideas,Command of Evidence,"The passage claims that water pollution harms aquatic life.","Which sentence supports this?","Water is clear.","Pollution kills fish.","Water is drinkable.","Pollution is good.",B,"Direct evidence of harm."
7,4,Expression of Ideas,Transitions,"The forecast was sunny; however, it began to rain.","What does 'however' mean?","Addition","Contrast","Cause","Effect",B,"Shows contrast to forecast."
