exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
3,26,1,Main Idea,"coral resilience has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
3,27,1,Evidence,Scholars argued that historical diaries reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
3,28,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
3,29,2,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
3,30,2,Evidence,Scholars argued that climate policy reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
3,31,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
3,32,2,Words in Context,"Scholars described the proposal as ""lucid"", noting it departed from established methods.","As used in the passage, ""lucid"" most nearly means:",clear,vague,complicated,temporary,A,"""lucid"" in scholarly context usually means clear rather than the other choices."
3,33,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
3,34,2,Evidence,Scholars argued that marine biology reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
3,35,2,Evidence,Scholars argued that education platforms reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
3,36,2,Evidence,Scholars argued that public health reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
3,37,2,Words in Context,"Scholars described the proposal as ""prevailing"", noting it departed from established methods.","As used in the passage, ""prevailing"" most nearly means:",dominant,current,rare,temporary,A,"""prevailing"" in scholarly context usually means dominant rather than the other choices."
3,38,2,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
3,39,2,Main Idea,"agricultural technology has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
3,40,2,Words in Context,"Scholars described the proposal as ""stride"", noting it departed from established methods.","As used in the passage, ""stride"" most nearly means:",progress,stumble,delay,temporary,A,"""stride"" in scholarly context usually means progress rather than the other choices."
3,41,2,Words in Context,"Scholars described the proposal as ""novel"", noting it departed from established methods.","As used in the passage, ""novel"" most nearly means:",innovative,fictional,strange,temporary,A,"""novel"" in scholarly context usually means innovative rather than the other choices."
3,42,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
3,43,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
3,44,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
3,45,2,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
3,46,2,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
3,47,2,Inference,"Researchers observed that space exploration initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
3,48,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
3,49,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
3,50,2,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
3,51,2,Inference,"Researchers observed that transportation initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
3,52,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
3,53,2,Main Idea,"education platforms has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
3,54,2,Words in Context,"Scholars described the proposal as ""yield"", noting it departed from established methods.","As used in the passage, ""yield"" most nearly means:",produce,surrender,delay,temporary,A,"""yield"" in scholarly context usually means produce rather than the other choices."
4,1,1,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
4,2,1,Inference,"Researchers observed that digital tools in music initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
4,3,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
4,4,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
4,5,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,6,1,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
4,7,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,8,1,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
4,9,1,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
4,10,1,Main Idea,"digital tools in music has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
4,11,1,Words in Context,"Scholars described the proposal as ""restraint"", noting it departed from established methods.","As used in the passage, ""restraint"" most nearly means:",discipline,shortage,hesitation,temporary,A,"""restraint"" in scholarly context usually means discipline rather than the other choices."
4,12,1,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
4,13,1,Vocabulary in Context,"The study was initially considered lucid by peers, but later evidence supported its claims.","As used here, ""lucid"" most nearly means:",clear,vague,complicated,controversial,A,"In this scientific context, lucid indicates clear."
4,14,1,Vocabulary in Context,"The study was initially considered lucid by peers, but later evidence supported its claims.","As used here, ""lucid"" most nearly means:",clear,vague,complicated,controversial,A,"In this scientific context, lucid indicates clear."
4,15,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
4,16,1,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
4,17,1,Words in Context,"Scholars described the proposal as ""temper"", noting it departed from established methods.","As used in the passage, ""temper"" most nearly means:",weaken,intensify,measure,temporary,A,"""temper"" in scholarly context usually means weaken rather than the other choices."
4,18,1,Evidence,Scholars argued that urban planning reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
4,19,1,Words in Context,"Scholars described the proposal as ""sound"", noting it departed from established methods.","As used in the passage, ""sound"" most nearly means:",reliable,noisy,illegal,temporary,A,"""sound"" in scholarly context usually means reliable rather than the other choices."
4,20,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
4,21,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,22,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,23,1,Words in Context,"Scholars described the proposal as ""lucid"", noting it departed from established methods.","As used in the passage, ""lucid"" most nearly means:",clear,vague,complicated,temporary,A,"""lucid"" in scholarly context usually means clear rather than the other choices."
4,24,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
4,25,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
4,26,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
4,27,1,Evidence,Scholars argued that sustainability reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
4,28,2,Main Idea,"historical diaries has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
4,29,2,Inference,"Researchers observed that data privacy initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
4,30,2,Vocabulary in Context,"The study was initially considered reserve by peers, but later evidence supported its claims.","As used here, ""reserve"" most nearly means:",supply,territory,hesitation,controversial,A,"In this scientific context, reserve indicates supply."
4,31,2,Punctuation,The project requires careful planning however it also needs flexibility.,Which punctuation best corrects the sentence?,"planning, however, it","planning; however, it",planning however it,"planning. however, it",B,Semicolon + transition is correct between independent clauses.
4,32,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
4,33,2,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
4,34,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
4,35,2,Vocabulary in Context,"The study was initially considered obscure by peers, but later evidence supported its claims.","As used here, ""obscure"" most nearly means:",unclear,famous,loud,controversial,A,"In this scientific context, obscure indicates unclear."
4,36,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
4,37,2,Parallelism,"The internship aims to teach students to write clearly, to present ideas confidently, and improving teamwork.",Which choice best corrects the sentence?,NO CHANGE,"to write clearly, to present ideas confidently, and to improve teamwork","write clearly, present ideas confidently, and improves teamwork","to write clearly, presenting ideas confidently, and improving teamwork",B,Parallel structure requires same verb form 'to ...' for each item.
4,38,2,Sentence Placement,(1) A company updated its software. (2) Users reported more bugs. (3) The update included several security patches. (4) Management addressed the issues.,Where should the sentence 'The update included several security patches.' be placed?,After sentence 1,After sentence 2,After sentence 3,After sentence 4,A,"It explains the content of the update, so place after sentence 1."
4,39,2,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
4,40,2,Vocabulary in Context,"The study was initially considered curb by peers, but later evidence supported its claims.","As used here, ""curb"" most nearly means:",restrict,encourage,measure,controversial,A,"In this scientific context, curb indicates restrict."
4,41,2,Words in Context,"Scholars described the proposal as ""stride"", noting it departed from established methods.","As used in the passage, ""stride"" most nearly means:",progress,stumble,delay,temporary,A,"""stride"" in scholarly context usually means progress rather than the other choices."
4,42,2,Inference,"Researchers observed that printing press initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
4,43,2,Words in Context,"Scholars described the proposal as ""curb"", noting it departed from established methods.","As used in the passage, ""curb"" most nearly means:",restrict,encourage,measure,temporary,A,"""curb"" in scholarly context usually means restrict rather than the other choices."
4,44,2,Words in Context,"Scholars described the proposal as ""yield"", noting it departed from established methods.","As used in the passage, ""yield"" most nearly means:",produce,surrender,delay,temporary,A,"""yield"" in scholarly context usually means produce rather than the other choices."
4,45,2,Function of Detail,The writer notes that City X preserved its old markets. This detail appears in a paragraph about urban continuity.,Why does the author include this detail?,To indicate City X has no modern infrastructure.,To illustrate continuity amid modernization.,To criticize market vendors.,To argue markets are harmful.,B,Detail shows continuity amid change; B matches function.
4,46,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,47,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,48,2,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
4,49,2,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
4,50,2,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
4,51,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
4,52,2,Words in Context,"Scholars described the proposal as ""temper"", noting it departed from established methods.","As used in the passage, ""temper"" most nearly means:",weaken,intensify,measure,temporary,A,"""temper"" in scholarly context usually means weaken rather than the other choices."
4,53,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
4,54,2,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
5,1,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
5,2,1,Grammar (Pronoun),Each student must submit ___ assignment by Friday.,Which choice best completes the sentence?,their,his or her,they,its,B,Each is singular; formal correct pronoun is 'his or her'.
5,3,1,Evidence,Scholars argued that social media misinformation reshaped public behavior; evidence includes changes in consumer practices and policy adoption.,Which choice would provide the strongest evidence for the claim that the topic changed public behavior?,A historical timeline of policies unrelated to behavior.,Survey data showing sustained shifts in consumer practices after adoption.,A short anecdote about one person.,An unrelated editorial.,B,Survey data demonstrating sustained shifts is strongest empirical evidence.
5,4,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
5,5,1,Main Idea,"electric buses has been debated in recent years; while some emphasize immediate practical benefits, others highlight long-term cultural impacts.",Which choice best states the central idea of the passage?,It focuses only on short-term benefits.,It contrasts immediate practical benefits with lasting cultural impacts.,It argues the topic has no meaningful impact.,It claims the topic is universally praised.,B,Passage contrasts short-term practical benefits with long-term cultural impacts; B captures central idea.
5,6,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
5,7,1,Vocabulary in Context,"The study was initially considered novel by peers, but later evidence supported its claims.","As used here, ""novel"" most nearly means:",innovative,fictional,strange,controversial,A,"In this scientific context, novel indicates innovative."
5,8,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
5,9,1,Vocabulary in Context,"The study was initially considered stride by peers, but later evidence supported its claims.","As used here, ""stride"" most nearly means:",progress,stumble,delay,controversial,A,"In this scientific context, stride indicates progress."
5,10,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
5,11,1,Rhetorical Strategy,The author shifts from a statistical overview to a first-person anecdote about a family affected by policy.,What rhetorical effect does this shift produce?,It undermines the statistics.,"It personalizes abstract data, making consequences tangible.",It provides unrelated narrative.,It confuses the reader.,B,Switching to anecdote personalizes the data; B captures effect.
5,12,1,Vocabulary in Context,"The study was initially considered curb by peers, but later evidence supported its claims.","As used here, ""curb"" most nearly means:",restrict,encourage,measure,controversial,A,"In this scientific context, curb indicates restrict."
5,13,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
5,14,1,Words in Context,"Scholars described the proposal as ""restraint"", noting it departed from established methods.","As used in the passage, ""restraint"" most nearly means:",discipline,shortage,hesitation,temporary,A,"""restraint"" in scholarly context usually means discipline rather than the other choices."
5,15,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
5,16,1,Concision,The committee met together as a unit in order to reach a consensus about the decision.,Which choice best improves concision?,The committee met to reach a consensus.,The committee met together to reach a consensus.,The committee as a unit met in order to reach a consensus.,"The committee, as a unit, met together to reach a consensus.",A,A removes redundancy while preserving meaning.
5,17,1,Words in Context,"Scholars described the proposal as ""sound"", noting it departed from established methods.","As used in the passage, ""sound"" most nearly means:",reliable,noisy,illegal,temporary,A,"""sound"" in scholarly context usually means reliable rather than the other choices."
5,18,1,Words in Context,"Scholars described the proposal as ""advocate"", noting it departed from established methods.","As used in the passage, ""advocate"" most nearly means:",supporter,critic,opponent,temporary,A,"""advocate"" in scholarly context usually means supporter rather than the other choices."
5,19,1,Grammar (Agreement),Neither the director nor the assistants ___ willing to change the schedule.,Which choice correctly completes the sentence?,is,are,were,be,B,"With neither...nor, verb agrees with nearer subject 'assistants' (plural)."
5,20,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
5,21,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
5,22,1,Inference,"Researchers observed that artistic innovation initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
5,23,1,Inference,"Researchers observed that architectural design initially failed in a number of trials, yet later innovations improved outcomes significantly.",Which inference is best supported by the passage?,Initial failure means the approach is invalid.,Later improvements indicate the approach had potential despite early setbacks.,All innovations always succeed eventually.,No further research is needed.,B,Passage suggests potential despite early failures; B is reasonable inference.
5,24,1,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
5,25,1,Transition,"The policy reduced costs. ___, employees reported lower morale.",Which transition best fits?,Therefore,Consequently,Nevertheless,Similarly,C,Contrast between reduced costs and lower morale.
5,26,1,Words in Context,"Scholars described the proposal as ""sound"", noting it departed from established methods.","As used in the passage, ""sound"" most nearly means:",reliable,noisy,illegal,temporary,A,"""sound"" in scholarly context usually means reliable rather than the other choices."
5,27,1,Grammar (Modifier),"Running down the hall, the trophy was accidentally knocked over.",Which choice corrects the dangling modifier?,NO CHANGE,"Running down the hall, the student accidentally knocked over the trophy.",The trophy accidentally knocked over while running down the hall.,"Running down the hall, the trophy moved.",B,The participial phrase must modify the person; B fixes it.
5,28,2,Author's Purpose,"By describing the community's everyday routines, the author highlighted how small practices reinforce local identity.",What is the primary purpose of the author's description?,To criticize local customs.,To show how mundane practices shape communal identity.,To propose policy change.,To describe a single individual's life.,B,Detail illustrates how everyday routines contribute to identity; B states this purpose.
